0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
15663942.0,1.0,27.83,1.0,1.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,2.0,176.0,538.0
15767729.0,1.0,20.0,1.25,1.0,4.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,140.0,5.0
15711446.0,1.0,22.5,0.125,1.0,4.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,200.0,71.0
15720529.0,1.0,21.08,4.125,1.0,3.0,8.0,0.04,0.0,0.0,0.0,0.0,2.0,140.0,101.0
15787693.0,1.0,31.83,0.04,1.0,7.000000000000001,4.0,0.04,0.0,0.0,0.0,0.0,2.0,0.0,1.0
15688210.0,1.0,38.25,10.125,1.0,4.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,160.0,1.0
15793366.0,1.0,31.57,3.0,1.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
15793317.0,1.0,21.08,10.085,1.0,9.999999999999998,8.0,1.25,0.0,0.0,0.0,0.0,2.0,260.0,1.0
15735106.0,1.0,16.25,0.0,1.0,6.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,60.0,1.0
15692430.0,1.0,21.17,0.25,1.0,8.0,8.0,0.25,0.0,0.0,0.0,0.0,2.0,280.0,205.0
15683276.0,1.0,29.67,0.75,1.0,8.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,240.0,1.0
15768777.0,1.0,30.17,1.085,1.0,8.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,170.0,180.0
15791326.0,1.0,17.08,0.085,1.0,8.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,140.0,723.0
15643574.0,1.0,21.17,0.875,1.0,8.0,8.0,0.25,0.0,0.0,0.0,0.0,2.0,280.0,205.0
15779586.0,1.0,22.92,3.165,1.0,8.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,160.0,1059.0
15730150.0,1.0,26.749999999999996,4.5,1.0,8.0,5.0,2.5,0.0,0.0,0.0,0.0,2.0,200.0,1211.0
15777994.0,1.0,42.0,9.79,2.0,14.000000000000002,8.0,7.959999999999999,1.0,1.0,8.0,0.0,2.0,0.0,1.0
15597536.0,1.0,27.67,2.0,2.0,14.000000000000002,8.0,1.0,1.0,1.0,4.0,0.0,2.0,140.0,7545.0
15661412.0,1.0,48.75,8.5,2.0,8.0,8.0,12.5,1.0,1.0,9.0,0.0,2.0,181.0,1656.0
15697310.0,1.0,41.17,4.04,2.0,13.0,8.0,7.0,1.0,1.0,8.0,0.0,2.0,320.0,1.0
15810723.0,1.0,38.17,10.125,2.0,14.000000000000002,4.0,2.5,1.0,1.0,6.0,0.0,2.0,520.0,196.99999999999997
15671293.0,1.0,54.83,15.499999999999998,2.0,9.999999999999998,9.0,0.0,1.0,1.0,20.0,0.0,2.0,152.0,131.0
15697844.0,1.0,57.42,8.5,2.0,9.999999999999998,8.0,7.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0
15706602.0,1.0,29.67,1.415,2.0,9.0,8.0,0.75,1.0,1.0,1.0,0.0,2.0,240.0,101.0
15728082.0,1.0,31.92,4.46,2.0,13.0,8.0,6.04,1.0,1.0,3.0,0.0,2.0,311.0,301.0
15675176.0,1.0,43.25,3.0,2.0,11.0,8.0,6.0,1.0,1.0,11.0,0.0,2.0,80.0,1.0
15796787.0,1.0,39.49999999999999,4.25,2.0,8.0,5.0,6.5,1.0,1.0,16.0,0.0,2.0,117.0,1211.0
15768449.0,1.0,41.92,0.42,2.0,8.0,8.0,0.21,1.0,1.0,6.0,0.0,2.0,220.0,948.9999999999999
15665374.0,1.0,28.67,9.335,2.0,11.0,8.0,5.665,1.0,1.0,6.0,0.0,2.0,381.0,169.0
